episode,step,return
1,13,13.0
2,40,27.0
3,52,12.0
4,76,24.0
5,98,22.0
6,116,18.0
7,135,19.0
8,147,12.0
9,160,13.0
10,197,37.0
11,228,31.0
12,269,41.0
13,284,15.0
14,298,14.0
15,317,19.0
16,330,13.0
17,340,10.0
18,349,9.0
19,367,18.0
20,424,57.0
21,441,17.0
22,458,17.0
23,477,19.0
24,508,31.0
25,528,20.0
26,564,36.0
27,577,13.0
28,682,105.0
29,727,45.0
30,745,18.0
31,771,26.0
32,790,19.0
33,812,22.0
34,845,33.0
35,867,22.0
36,890,23.0
37,919,29.0
38,931,12.0
39,958,27.0
40,985,27.0
41,1000,15.0
42,1045,45.0
43,1087,42.0
44,1115,28.0
45,1144,29.0
46,1161,17.0
47,1193,32.0
48,1318,125.0
49,1353,35.0
50,1373,20.0
51,1385,12.0
52,1399,14.0
53,1412,13.0
54,1441,29.0
55,1458,17.0
56,1477,19.0
57,1497,20.0
58,1507,10.0
59,1522,15.0
60,1583,61.0
61,1599,16.0
62,1618,19.0
63,1635,17.0
64,1668,33.0
65,1707,39.0
66,1743,36.0
67,1759,16.0
68,1788,29.0
69,1805,17.0
70,1822,17.0
71,1837,15.0
72,1856,19.0
73,1867,11.0
74,1879,12.0
75,1898,19.0
76,1916,18.0
77,1953,37.0
78,1968,15.0
79,1993,25.0
80,2019,26.0
81,2099,80.0
82,2179,80.0
83,2199,20.0
84,2241,42.0
85,2253,12.0
86,2291,38.0
87,2342,51.0
88,2375,33.0
89,2404,29.0
90,2438,34.0
91,2452,14.0
92,2497,45.0
93,2516,19.0
94,2535,19.0
95,2573,38.0
96,2607,34.0
97,2700,93.0
98,2715,15.0
99,2735,20.0
100,2779,44.0
101,2795,16.0
102,2829,34.0
103,2840,11.0
104,2858,18.0
105,2872,14.0
106,2889,17.0
107,2924,35.0
108,2958,34.0
109,2998,40.0
110,3019,21.0
111,3057,38.0
112,3081,24.0
113,3171,90.0
114,3192,21.0
115,3210,18.0
116,3238,28.0
117,3261,23.0
118,3290,29.0
119,3344,54.0
120,3382,38.0
121,3395,13.0
122,3434,39.0
123,3484,50.0
124,3542,58.0
125,3576,34.0
126,3645,69.0
127,3675,30.0
128,3747,72.0
129,3801,54.0
130,3864,63.0
131,3880,16.0
132,3915,35.0
133,3933,18.0
134,4015,82.0
135,4048,33.0
136,4114,66.0
137,4152,38.0
138,4176,24.0
139,4222,46.0
140,4264,42.0
141,4318,54.0
142,4369,51.0
143,4390,21.0
144,4401,11.0
145,4429,28.0
146,4465,36.0
147,4531,66.0
148,4551,20.0
149,4585,34.0
150,4601,16.0
151,4651,50.0
152,4752,101.0
153,4784,32.0
154,4800,16.0
155,4815,15.0
156,4874,59.0
157,4921,47.0
158,4943,22.0
159,4966,23.0
160,5040,74.0
161,5079,39.0
162,5106,27.0
163,5146,40.0
164,5172,26.0
165,5187,15.0
166,5215,28.0
167,5233,18.0
168,5281,48.0
169,5327,46.0
170,5348,21.0
171,5363,15.0
172,5385,22.0
173,5423,38.0
174,5444,21.0
175,5489,45.0
176,5547,58.0
177,5561,14.0
178,5585,24.0
179,5619,34.0
