episode,step,return
360,10438,46.0
361,10472,34.0
362,10484,12.0
363,10499,15.0
364,10548,49.0
365,10565,17.0
366,10578,13.0
367,10595,17.0
368,10611,16.0
369,10666,55.0
370,10712,46.0
371,10746,34.0
372,10769,23.0
373,10800,31.0
374,10823,23.0
375,10836,13.0
376,10848,12.0
377,10890,42.0
378,10905,15.0
379,10922,17.0
380,10981,59.0
381,11030,49.0
382,11058,28.0
383,11071,13.0
384,11082,11.0
385,11100,18.0
386,11112,12.0
387,11162,50.0
388,11178,16.0
389,11202,24.0
390,11230,28.0
391,11252,22.0
392,11266,14.0
393,11278,12.0
394,11297,19.0
395,11317,20.0
396,11361,44.0
397,11456,95.0
398,11494,38.0
399,11530,36.0
400,11555,25.0
401,11599,44.0
402,11667,68.0
403,11682,15.0
404,11704,22.0
405,11733,29.0
406,11747,14.0
407,11804,57.0
408,11844,40.0
409,11858,14.0
410,11884,26.0
411,11905,21.0
412,11929,24.0
413,11959,30.0
414,11971,12.0
415,11984,13.0
416,12014,30.0
417,12026,12.0
418,12038,12.0
419,12065,27.0
420,12089,24.0
421,12106,17.0
422,12121,15.0
423,12152,31.0
424,12176,24.0
425,12204,28.0
426,12240,36.0
427,12257,17.0
428,12275,18.0
429,12304,29.0
430,12339,35.0
431,12369,30.0
432,12426,57.0
433,12444,18.0
434,12460,16.0
435,12510,50.0
436,12556,46.0
437,12590,34.0
438,12603,13.0
439,12638,35.0
440,12655,17.0
441,12677,22.0
442,12692,15.0
443,12708,16.0
444,12736,28.0
445,12753,17.0
446,12767,14.0
447,12846,79.0
448,12873,27.0
449,12887,14.0
450,12921,34.0
451,12934,13.0
452,12950,16.0
453,12969,19.0
454,13012,43.0
455,13030,18.0
456,13059,29.0
457,13085,26.0
458,13107,22.0
459,13138,31.0
460,13152,14.0
461,13164,12.0
462,13182,18.0
463,13236,54.0
464,13264,28.0
465,13280,16.0
466,13293,13.0
467,13327,34.0
468,13346,19.0
469,13363,17.0
470,13424,61.0
471,13482,58.0
472,13503,21.0
473,13541,38.0
474,13574,33.0
475,13608,34.0
476,13638,30.0
477,13659,21.0
478,13689,30.0
479,13710,21.0
480,13729,19.0
481,13750,21.0
482,13778,28.0
483,13790,12.0
484,13819,29.0
485,13877,58.0
486,13929,52.0
487,13994,65.0
488,14009,15.0
489,14040,31.0
490,14064,24.0
491,14094,30.0
492,14108,14.0
493,14130,22.0
494,14143,13.0
495,14159,16.0
496,14183,24.0
497,14226,43.0
498,14257,31.0
499,14280,23.0
500,14300,20.0
501,14314,14.0
502,14357,43.0
503,14380,23.0
504,14428,48.0
505,14456,28.0
506,14483,27.0
507,14518,35.0
508,14547,29.0
509,14560,13.0
510,14581,21.0
511,14611,30.0
512,14634,23.0
513,14663,29.0
514,14694,31.0
515,14724,30.0
516,14749,25.0
517,14775,26.0
518,14787,12.0
519,14816,29.0
520,14862,46.0
521,14876,14.0
522,14918,42.0
523,14939,21.0
524,14978,39.0
525,15001,23.0
526,15035,34.0
527,15068,33.0
528,15187,119.0
529,15216,29.0
530,15232,16.0
531,15293,61.0
532,15317,24.0
533,15348,31.0
534,15378,30.0
535,15414,36.0
536,15449,35.0
537,15467,18.0
538,15499,32.0
539,15509,10.0
540,15524,15.0
541,15536,12.0
542,15607,71.0
543,15620,13.0
544,15632,12.0
545,15661,29.0
546,15691,30.0
547,15700,9.0
548,15719,19.0
549,15738,19.0
550,15812,74.0
551,15839,27.0
552,15881,42.0
553,15900,19.0
554,15945,45.0
555,15960,15.0
556,16080,120.0
557,16110,30.0
558,16153,43.0
559,16172,19.0
560,16187,15.0
561,16217,30.0
562,16261,44.0
563,16299,38.0
564,16329,30.0
565,16380,51.0
566,16417,37.0
567,16427,10.0
568,16451,24.0
569,16471,20.0
570,16513,42.0
571,16525,12.0
572,16551,26.0
573,16567,16.0
574,16592,25.0
575,16617,25.0
576,16647,30.0
577,16681,34.0
578,16711,30.0
579,16735,24.0
580,16782,47.0
581,16802,20.0
582,16816,14.0
583,16855,39.0
584,16875,20.0
585,16896,21.0
586,16925,29.0
587,16936,11.0
588,16948,12.0
589,16978,30.0
590,17043,65.0
591,17055,12.0
592,17081,26.0
593,17101,20.0
594,17117,16.0
595,17140,23.0
596,17201,61.0
597,17221,20.0
598,17240,19.0
599,17278,38.0
600,17296,18.0
601,17348,52.0
602,17366,18.0
603,17377,11.0
604,17389,12.0
605,17416,27.0
606,17437,21.0
607,17458,21.0
608,17482,24.0
609,17506,24.0
610,17528,22.0
611,17550,22.0
612,17560,10.0
613,17569,9.0
614,17580,11.0
615,17596,16.0
616,17612,16.0
617,17676,64.0
618,17690,14.0
619,17724,34.0
620,17745,21.0
621,17762,17.0
622,17781,19.0
623,17811,30.0
624,17856,45.0
625,17869,13.0
626,17879,10.0
627,17894,15.0
628,17938,44.0
629,17950,12.0
630,17977,27.0
631,18040,63.0
632,18076,36.0
633,18100,24.0
634,18122,22.0
635,18153,31.0
636,18169,16.0
637,18209,40.0
638,18244,35.0
639,18273,29.0
640,18300,27.0
641,18314,14.0
642,18328,14.0
643,18346,18.0
644,18367,21.0
645,18399,32.0
646,18437,38.0
647,18453,16.0
648,18465,12.0
649,18491,26.0
650,18514,23.0
651,18561,47.0
652,18600,39.0
653,18620,20.0
654,18649,29.0
655,18675,26.0
656,18690,15.0
657,18708,18.0
658,18737,29.0
659,18754,17.0
660,18777,23.0
661,18801,24.0
662,18847,46.0
663,18869,22.0
664,18908,39.0
665,18928,20.0
666,18953,25.0
667,18969,16.0
668,18989,20.0
669,19015,26.0
670,19029,14.0
671,19056,27.0
672,19091,35.0
673,19112,21.0
674,19141,29.0
675,19171,30.0
676,19201,30.0
677,19237,36.0
678,19257,20.0
679,19269,12.0
680,19296,27.0
681,19320,24.0
682,19343,23.0
683,19363,20.0
684,19381,18.0
685,19401,20.0
686,19414,13.0
687,19463,49.0
688,19522,59.0
689,19535,13.0
690,19548,13.0
691,19562,14.0
692,19576,14.0
693,19591,15.0
694,19614,23.0
695,19635,21.0
696,19680,45.0
697,19718,38.0
698,19742,24.0
699,19769,27.0
700,19817,48.0
701,19829,12.0
702,19843,14.0
703,19867,24.0
704,19913,46.0
705,19946,33.0
706,20012,66.0
707,20037,25.0
708,20049,12.0
709,20077,28.0
710,20102,25.0
711,20115,13.0
712,20131,16.0
713,20159,28.0
714,20189,30.0
715,20268,79.0
716,20294,26.0
717,20330,36.0
718,20343,13.0
719,20364,21.0
720,20386,22.0
721,20412,26.0
722,20431,19.0
