update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.008696,42.769135,0.691337,0.001752,0.1091
2,4096,-0.004034,46.173639,0.689119,0.000692,0.0180
3,6144,-0.000941,32.808223,0.686269,0.000320,0.0000
4,8192,-0.001938,23.247887,0.684041,0.002617,0.0417
5,10240,-0.000482,24.106369,0.682287,0.002227,0.0783
6,12288,0.001052,22.653302,0.663131,0.004838,0.2223
7,14336,-0.001213,30.426686,0.671269,0.002402,0.0783
8,16384,0.001568,34.194396,0.663390,0.002634,0.1283
9,18432,-0.005132,35.622688,0.652454,0.002327,0.1059
10,20480,-0.000260,37.985166,0.655306,0.001261,0.0400
11,22528,-0.002576,39.822478,0.645681,0.002326,0.1095
12,24576,0.001526,46.618578,0.650050,0.002224,0.0845
13,26624,0.006160,45.383640,0.632833,0.006024,0.1091
14,28672,-0.002956,48.290181,0.631917,0.002987,0.1229
15,30720,0.000251,52.590112,0.636237,0.000913,0.0314
16,32768,0.011763,53.883505,0.642044,0.002724,0.0843
17,34816,-0.001536,59.511898,0.581684,0.015177,0.3647
18,36864,0.008914,49.513834,0.632070,0.005643,0.3233
19,38912,-0.001788,54.608297,0.620583,0.001417,0.0297
20,40960,0.014855,52.730160,0.633013,0.003574,0.1289
21,43008,-0.002366,66.326757,0.606889,0.004925,0.1297
22,45056,0.016072,42.901467,0.632908,0.004096,0.2042
23,47104,0.007272,75.793647,0.589950,0.016447,0.3036
24,49152,0.006302,44.041352,0.610697,0.004099,0.1508
25,51200,0.006543,40.968953,0.625971,0.003054,0.1243
26,53248,0.005161,47.000581,0.607732,0.004491,0.2237
27,55296,0.012516,49.989954,0.595391,0.009478,0.3280
28,57344,0.022218,36.282017,0.609422,0.007783,0.2964
29,59392,-0.000643,68.474033,0.580796,0.009612,0.2468
30,61440,0.002847,47.901096,0.586595,0.001808,0.0698
31,63488,0.013052,35.679924,0.608436,0.008725,0.2464
32,65536,0.006037,89.024454,0.577455,0.014819,0.2650
33,67584,0.017105,27.938926,0.605003,0.004954,0.2510
34,69632,0.007123,50.098872,0.590239,0.002175,0.0979
35,71680,-0.000570,69.478636,0.569089,0.004720,0.1183
36,73728,0.011192,28.040608,0.605858,0.006339,0.2232
37,75776,0.009007,89.909081,0.569994,0.020878,0.2614
38,77824,0.023633,25.206179,0.602283,0.008207,0.3414
39,79872,0.003683,61.290220,0.557733,0.012624,0.2573
40,81920,0.010535,30.683957,0.579922,0.006356,0.2244
41,83968,0.011691,98.916222,0.533573,0.034307,0.4203
42,86016,0.014451,16.373278,0.599871,0.007324,0.2292
43,88064,0.013630,40.441326,0.590911,0.009722,0.3058
44,90112,0.011637,46.761606,0.602810,0.006579,0.3115
45,92160,-0.000482,33.746144,0.587877,0.005727,0.2131
46,94208,0.014944,90.933256,0.546524,0.026322,0.3781
47,96256,0.010832,17.320646,0.598231,0.005206,0.1690
48,98304,0.008566,30.410606,0.584776,0.003699,0.1324
49,100352,0.005338,54.971764,0.567103,0.008815,0.2334
50,102400,0.003320,33.338740,0.585573,0.004742,0.1759
51,104448,0.017430,19.257498,0.602517,0.008700,0.2546
52,106496,0.003731,47.033616,0.587003,0.005964,0.1696
53,108544,0.011736,22.617273,0.614480,0.007874,0.3504
54,110592,0.002538,60.986430,0.559226,0.008130,0.2410
55,112640,0.007061,30.165147,0.578035,0.005498,0.2361
56,114688,0.010208,29.653905,0.567691,0.009743,0.2691
57,116736,0.008500,16.981273,0.613159,0.004288,0.2013
58,118784,0.003595,57.027033,0.574550,0.003185,0.1114
59,120832,-0.000241,45.595284,0.576745,0.004533,0.1518
60,122880,0.012955,24.046742,0.604846,0.006364,0.3332
61,124928,0.002264,54.322503,0.563055,0.006456,0.1766
62,126976,0.001214,38.421087,0.559176,0.005177,0.2113
63,129024,0.004248,22.863046,0.594420,0.006789,0.1581
64,131072,0.002455,42.050851,0.577977,0.007684,0.1993
65,133120,0.008049,16.467665,0.592203,0.007344,0.2669
66,135168,0.013721,109.676973,0.567614,0.018758,0.1896
67,137216,0.014828,22.523355,0.605937,0.012188,0.4199
68,139264,0.020661,85.788343,0.564055,0.038911,0.3448
69,141312,0.008327,21.704228,0.586859,0.009899,0.4304
70,143360,0.005084,45.698566,0.578080,0.005975,0.2188
71,145408,0.009621,22.686468,0.579847,0.007718,0.2160
72,147456,0.016157,60.090861,0.539378,0.024019,0.3603
73,149504,0.020295,7.463484,0.598438,0.016782,0.3627
74,151552,0.019844,138.758155,0.544693,0.046505,0.2610
75,153600,0.007741,9.369252,0.578306,0.006793,0.2645
76,155648,0.018726,83.462537,0.546758,0.035075,0.4035
77,157696,0.018667,7.485249,0.597626,0.018598,0.4883
78,159744,0.001215,19.790400,0.593255,0.006746,0.2696
79,161792,0.009273,111.905580,0.527835,0.039144,0.3119
80,163840,0.012591,14.455965,0.591356,0.004328,0.1647
81,165888,0.003246,13.277062,0.593720,0.004281,0.1745
82,167936,-0.000189,14.698247,0.588236,0.006682,0.3293
83,169984,0.004259,47.645417,0.559819,0.015547,0.2742
84,172032,0.001096,12.294037,0.581985,0.003456,0.1532
85,174080,-0.001486,17.004707,0.577014,0.004381,0.2676
86,176128,0.000140,27.847161,0.574503,0.002367,0.0914
87,178176,0.015664,33.124295,0.566041,0.009202,0.3236
88,180224,0.010443,10.252148,0.583362,0.018598,0.3799
89,182272,0.000341,61.765332,0.564013,0.003543,0.0988
90,184320,0.008877,14.990685,0.597193,0.006959,0.1991
91,186368,0.011974,60.748256,0.586358,0.014530,0.3249
92,188416,0.020469,114.162602,0.531777,0.058283,0.3313
93,190464,0.017509,6.569925,0.586909,0.012695,0.3317
94,192512,0.008300,23.474230,0.570241,0.006431,0.2207
95,194560,0.004920,14.764783,0.594985,0.005833,0.2467
96,196608,-0.001281,40.721060,0.558440,0.008178,0.2195
97,198656,-0.004651,4.583638,0.597385,0.006576,0.3639
98,200704,0.004718,50.658882,0.551891,0.008704,0.2129
99,202752,0.008511,13.125490,0.599270,0.008750,0.3302
100,204800,0.002310,25.529771,0.583511,0.003565,0.1467
101,206848,0.012613,69.368524,0.542231,0.022726,0.3486
102,208896,0.002287,26.130504,0.591644,0.004328,0.1629
103,210944,-0.000092,38.832883,0.544715,0.007763,0.1966
104,212992,0.010769,5.526911,0.596389,0.010947,0.2644
105,215040,-0.005855,18.007328,0.577276,0.003025,0.1917
106,217088,0.014201,110.973279,0.534925,0.036199,0.3420
107,219136,0.012003,16.394253,0.585829,0.011359,0.3617
108,221184,0.000102,14.993977,0.571650,0.003770,0.1892
109,223232,0.013060,24.386350,0.582452,0.018870,0.2871
110,225280,0.015029,91.792286,0.547824,0.033151,0.3498
111,227328,0.014044,6.433860,0.595354,0.009601,0.2633
112,229376,-0.000108,24.773809,0.585880,0.004219,0.1321
113,231424,0.004408,24.459218,0.600450,0.006678,0.2082
114,233472,0.008197,26.822927,0.581478,0.013190,0.2642
115,235520,0.008017,65.959441,0.532867,0.022993,0.2277
116,237568,0.006004,5.024093,0.601250,0.008696,0.2973
117,239616,0.001263,61.358822,0.575659,0.008539,0.1843
118,241664,0.006526,15.097235,0.579874,0.025523,0.4327
119,243712,-0.001113,26.814095,0.593524,0.005211,0.2092
120,245760,0.019148,4.167112,0.612579,0.012976,0.2427
121,247808,0.008022,91.825038,0.562002,0.019416,0.2639
122,249856,0.011057,4.246980,0.608784,0.010334,0.3392
123,251904,0.001590,71.705759,0.573295,0.008152,0.1225
124,253952,0.015203,4.571938,0.587822,0.015011,0.3961
125,256000,0.014322,65.604606,0.578542,0.016890,0.3690
126,258048,0.011506,5.909626,0.581756,0.012099,0.4199
127,260096,0.007246,59.720111,0.555804,0.030952,0.2685
128,262144,0.002552,17.095997,0.602165,0.004815,0.2294
129,264192,-0.000765,45.285195,0.577383,0.006670,0.1758
130,266240,0.025887,3.313700,0.595137,0.016602,0.4184
131,268288,0.006310,110.940578,0.560410,0.017156,0.2181
132,270336,0.008381,3.711542,0.583705,0.012045,0.3455
133,272384,0.008593,33.069277,0.564460,0.014797,0.3060
134,274432,0.009513,4.432763,0.576580,0.009684,0.3485
135,276480,0.006138,49.432539,0.556101,0.017054,0.2112
136,278528,-0.001533,5.902563,0.590520,0.005601,0.2561
137,280576,0.019982,84.816510,0.544276,0.030164,0.3684
138,282624,0.010873,5.683213,0.585207,0.017518,0.3771
139,284672,0.014259,84.061656,0.537418,0.042195,0.3700
140,286720,-0.003578,7.243945,0.563774,0.013835,0.4467
141,288768,0.001038,15.598430,0.577885,0.004843,0.1968
